"Month","Espoo Domestic nights","Espoo Foreign nights","Espoo Average room price","Espoo Average price per night","Espoo Nights spent"
"1995M01",11063,4610,51.43,34.53,15673
"1995M02",10866,3865,51.89,36.07,14731
"1995M03",13004,5109,53.72,35.69,18113
"1995M04",11988,4662,51.13,35.12,16650
"1995M05",15291,8017,58.57,36.79,23308
"1995M06",19023,12126,51.01,29.87,31149
"1995M07",17815,10205,44.60,22.89,28020
"1995M08",18333,12786,50.25,31.37,31119
"1995M09",14199,7598,51.14,36.34,21797
"1995M10",17228,7284,51.89,36.58,24512
"1995M11",16210,5542,48.20,34.35,21752
"1995M12",11215,4583,46.91,30.26,15798
"1996M01",13164,6971,51.98,35.04,20135
"1996M02",17445,5178,52.74,32.88,22623
"1996M03",18016,8102,54.89,36.02,26118
"1996M04",15557,6255,51.44,34.15,21812
"1996M05",18668,8690,57.02,37.11,27358
"1996M06",18018,11504,57.19,39.01,29522
"1996M07",15578,8122,41.59,26.39,23700
"1996M08",17985,11928,53.59,33.34,29913
"1996M09",15818,9084,58.52,40.70,24902
"1996M10",19298,6714,55.33,37.07,26012
"1996M11",16770,7616,56.16,38.76,24386
"1996M12",10649,6134,54.76,34.79,16783
"1997M01",12382,9158,62.92,39.82,21540
"1997M02",15587,5008,58.72,37.37,20595
"1997M03",16014,7083,57.69,37.93,23097
"1997M04",16143,7199,56.67,39.67,23342
"1997M05",18684,11804,58.41,38.94,30488
"1997M06",19380,11085,59.24,38.74,30465
"1997M07",16159,14884,62.53,34.49,31043
"1997M08",18962,15574,57.82,35.25,34536
"1997M09",16824,9433,54.27,39.65,26257
"1997M10",19359,8010,58.61,40.57,27369
"1997M11",18129,8990,56.66,39.52,27119
"1997M12",12077,7284,58.03,37.56,19361
"1998M01",13105,11467,60.68,38.73,24572
"1998M02",15510,6842,74.07,48.84,22352
"1998M03",17082,9909,62.86,43.07,26991
"1998M04",15349,7561,60.63,40.99,22910
"1998M05",19306,12523,64.03,43.91,31829
"1998M06",20927,15106,64.49,42.74,36033
"1998M07",19165,10511,52.45,27.66,29676
"1998M08",21522,18565,65.05,38.74,40087
"1998M09",19736,10800,64.71,47.09,30536
"1998M10",22523,7517,64.27,43.12,30040
"1998M11",20899,7053,62.79,43.73,27952
"1998M12",13749,5764,64.17,42.99,19513
"1999M01",13234,8655,69.15,47.44,21889
"1999M02",16213,5184,68.87,47.09,21397
"1999M03",19545,9811,67.16,46.33,29356
"1999M04",15295,6034,65.11,45.67,21329
"1999M05",19950,8717,69.43,47.43,28667
"1999M06",21755,12987,68.06,46.71,34742
"1999M07",17850,11032,56.08,30.42,28882
"1999M08",19703,15614,68.51,42.66,35317
"1999M09",19086,8717,68.37,49.52,27803
"1999M10",21410,7358,68.65,46.74,28768
"1999M11",19347,7803,69.14,49.69,27150
"1999M12",12522,6145,70.65,47.72,18667
"2000M01",12223,8279,69.86,47.97,20502
"2000M02",16640,6569,68.17,46.39,23209
"2000M03",20536,8122,69.66,47.36,28658
"2000M04",15844,6795,67.17,45.82,22639
"2000M05",22808,10159,70.52,48.17,32967
"2000M06",19375,13353,68.40,48.07,32728
"2000M07",18453,7808,54.83,30.49,26261
"2000M08",20646,15371,72.33,46.33,36017
"2000M09",19651,9416,64.95,45.28,29067
"2000M10",20913,8442,69.51,48.90,29355
"2000M11",18984,9451,69.23,49.98,28435
"2000M12",9310,5694,69.06,50.49,15004
"2001M01",12974,8702,72.04,48.90,21676
"2001M02",17470,6617,71.07,48.32,24087
"2001M03",17769,8581,71.48,49.00,26350
"2001M04",15652,6575,70.66,48.46,22227
"2001M05",19992,9494,74.13,50.31,29486
"2001M06",22677,11382,70.90,47.14,34059
"2001M07",19468,10264,57.03,32.08,29732
"2001M08",22210,13707,73.32,43.97,35917
"2001M09",19104,8790,73.75,51.19,27894
"2001M10",19391,8779,73.05,51.22,28170
"2001M11",16789,8216,78.09,55.15,25005
"2001M12",8726,5550,73.71,54.17,14276
"2002M01",12354,9533,85.02,59.72,21887
"2002M02",15001,6109,76.61,53.64,21110
"2002M03",15157,7513,74.41,53.44,22670
"2002M04",15337,7120,75.08,55.28,22457
"2002M05",18999,10793,76.65,50.79,29792
"2002M06",18062,12972,74.49,46.71,31034
"2002M07",19335,11004,57.90,30.67,30339
"2002M08",21183,14875,68.63,42.45,36058
"2002M09",16159,11080,78.26,55.99,27239
"2002M10",19587,8696,77.37,54.29,28283
"2002M11",16877,8919,75.59,52.66,25796
"2002M12",7917,6092,76.11,54.17,14009
"2003M01",11771,10275,79.67,55.56,22046
"2003M02",13610,7343,80.14,54.84,20953
"2003M03",15080,7508,76.76,53.93,22588
"2003M04",12694,6579,80.59,57.08,19273
"2003M05",18491,10201,77.36,52.03,28692
"2003M06",16148,11541,74.82,50.01,27689
"2003M07",16612,9047,62.67,30.11,25659
"2003M08",19752,15262,68.91,41.65,35014
"2003M09",16974,9890,78.25,56.27,26864
"2003M10",18556,7494,78.66,53.07,26050
"2003M11",16383,7795,77.06,55.54,24178
"2003M12",8762,5568,82.05,59.73,14330
"2004M01",12326,8144,82.50,56.65,20470
"2004M02",16586,6800,78.45,50.92,23386
"2004M03",14978,7545,81.42,61.15,22523
"2004M04",14535,6215,78.77,53.96,20750
"2004M05",17991,9960,79.03,53.37,27951
"2004M06",17794,13035,75.22,50.48,30829
"2004M07",20831,9287,52.59,26.21,30118
"2004M08",20488,14881,67.96,40.75,35369
"2004M09",18003,11657,80.10,56.59,29660
"2004M10",20271,8794,71.26,49.74,29065
"2004M11",17793,8965,77.54,55.11,26758
"2004M12",9371,5488,77.79,56.04,14859
"2005M01",11994,9041,82.39,56.46,21035
"2005M02",14345,6891,79.74,53.71,21236
"2005M03",15787,8185,79.19,52.19,23972
"2005M04",15949,7903,78.93,56.98,23852
"2005M05",18351,12505,79.73,54.84,30856
"2005M06",18398,14942,71.42,48.78,33340
"2005M07",21163,11507,59.26,32.53,32670
"2005M08",18858,21837,80.97,51.34,40695
"2005M09",16906,11657,76.07,55.54,28563
"2005M10",17247,9338,73.70,51.79,26585
"2005M11",16769,8615,78.09,57.96,25384
"2005M12",10167,6249,74.38,52.13,16416
"2006M01",13536,8607,76.40,53.67,22143
"2006M02",13660,8185,77.50,54.69,21845
"2006M03",15156,9855,81.29,59.47,25011
"2006M04",13286,9353,79.44,56.93,22639
"2006M05",17801,15568,75.05,52.86,33369
"2006M06",18702,17839,74.94,50.84,36541
"2006M07",22284,13176,58.82,34.29,35460
"2006M08",22318,19626,72.22,47.24,41944
"2006M09",17453,17475,84.64,62.74,34928
"2006M10",19075,14402,82.60,60.63,33477
"2006M11",16556,12932,85.32,65.16,29488
"2006M12",10370,8046,77.28,55.37,18416
"2007M01",12845,12587,85.19,64.11,25432
"2007M02",13857,8936,84.28,61.12,22793
"2007M03",16458,11898,84.10,60.43,28356
"2007M04",13698,10125,80.19,58.71,23823
"2007M05",17181,14573,80.94,60.24,31754
"2007M06",17701,18660,77.60,53.38,36361
"2007M07",20484,12161,57.99,32.00,32645
"2007M08",21661,16360,74.88,48.47,38021
"2007M09",17647,13716,81.06,59.38,31363
"2007M10",19236,14162,82.34,59.66,33398
"2007M11",16890,12601,83.04,60.08,29491
"2007M12",10274,9483,80.96,56.23,19757
"2008M01",14057,13779,86.23,61.72,27836
"2008M02",16502,9396,84.59,58.94,25898
"2008M03",14953,8944,82.00,59.47,23897
"2008M04",19051,10373,81.32,57.32,29424
"2008M05",18231,14727,85.67,58.59,32958
"2008M06",18881,15473,82.87,51.71,34354
"2008M07",22816,11411,58.66,31.24,34227
"2008M08",22973,15721,80.29,49.62,38694
"2008M09",16637,14818,87.19,61.17,31455
"2008M10",18277,12063,91.74,65.38,30340
"2008M11",16233,10516,87.81,63.45,26749
"2008M12",11193,8014,85.82,60.32,19207
"2009M01",14121,12113,84.33,56.67,26234
"2009M02",13182,7810,81.99,59.72,20992
"2009M03",15718,10218,84.93,61.51,25936
"2009M04",14027,9049,79.14,54.60,23076
"2009M05",17536,12821,91.26,63.20,30357
"2009M06",17518,13248,82.12,54.18,30766
"2009M07",20500,8944,58.13,30.06,29444
"2009M08",21348,13664,76.96,47.20,35012
"2009M09",16993,11904,82.89,61.80,28897
"2009M10",16813,11097,81.54,57.68,27910
"2009M11",14935,10725,84.31,63.28,25660
"2009M12",9836,8073,84.16,60.37,17909
"2010M01",9688,9491,79.70,54.65,19179
"2010M02",10041,6856,86.59,63.61,16897
"2010M03",12051,8904,83.56,60.68,20955
"2010M04",11650,5377,82.94,58.47,17027
"2010M05",13267,8102,83.96,60.56,21369
"2010M06",13140,11614,83.82,58.31,24754
"2010M07",15557,8746,62.18,34.18,24303
"2010M08",16971,12740,75.14,47.31,29711
"2010M09",14685,10528,88.04,66.87,25213
"2010M10",14414,10382,87.55,64.40,24796
"2010M11",14443,9739,88.52,67.89,24182
"2010M12",11079,6573,81.52,56.32,17652
"2011M01",12936,10252,78.42,56.51,23188
"2011M02",12811,7457,85.04,63.38,20268
"2011M03",15201,9272,90.35,65.70,24473
"2011M04",14859,8615,82.68,56.64,23474
"2011M05",17452,12272,89.20,64.69,29724
"2011M06",17090,15228,81.83,55.67,32318
"2011M07",21531,14774,57.25,29.08,36305
"2011M08",22597,19560,76.45,46.15,42157
"2011M09",18074,13927,80.03,56.55,32001
"2011M10",18063,12289,82.79,57.84,30352
"2011M11",17691,12209,88.58,63.31,29900
"2011M12",12685,9287,80.81,51.67,21972
"2012M01",15660,15594,82.19,52.15,31254
"2012M02",14572,10595,82.05,58.28,25167
"2012M03",16710,11932,85.29,58.87,28642
"2012M04",16109,10349,79.36,54.01,26458
"2012M05",20338,15987,87.98,60.82,36325
"2012M06",19608,17335,81.40,53.07,36943
"2012M07",21875,16290,56.32,29.89,38165
"2012M08",25299,18836,77.23,47.97,44135
"2012M09",17529,13255,88.84,64.92,30784
"2012M10",16535,9810,88.03,68.61,26345
"2012M11",16480,12603,91.01,66.15,29083
"2012M12",11209,7871,85.03,58.10,19080
"2013M01",12973,12607,82.16,58.19,25580
"2013M02",14103,7423,80.78,55.02,21526
"2013M03",14148,11035,88.63,62.46,25183
"2013M04",16227,10349,84.18,62.15,26576
"2013M05",19339,15394,86.26,57.11,34733
"2013M06",18346,17140,82.27,56.15,35486
"2013M07",22164,17745,60.35,31.63,39909
"2013M08",21706,19973,75.27,46.19,41679
"2013M09",17292,13056,85.30,61.06,30348
"2013M10",16699,11982,85.27,62.08,28681
"2013M11",17381,12220,88.52,61.19,29601
"2013M12",11057,9201,84.69,56.66,20258
"2014M01",12591,14676,82.53,55.05,27267
"2014M02",12392,8691,81.92,60.63,21083
"2014M03",14820,9744,86.50,62.92,24564
"2014M04",14197,7588,78.35,57.49,21785
"2014M05",17741,13272,90.15,60.85,31013
"2014M06",17524,17001,87.61,58.50,34525
"2014M07",19626,14713,59.12,32.64,34339
"2014M08",22352,20598,85.81,52.51,42950
"2014M09",16969,12013,87.15,63.71,28982
"2014M10",15813,12471,86.82,62.53,28284
"2014M11",17611,10788,86.92,62.57,28399
"2014M12",10236,6713,83.67,60.75,16949
"2015M01",16954,9843,81.34,55.17,26797
"2015M02",15827,7796,81.46,58.10,23623
"2015M03",16519,8606,88.01,65.85,25125
"2015M04",16994,7961,83.91,59.69,24955
"2015M05",20474,11817,88.32,62.32,32291
"2015M06",21345,13577,86.15,56.16,34922
"2015M07",20779,17158,65.53,34.66,37937
"2015M08",24546,15582,79.35,49.37,40128
"2015M09",20053,12415,82.55,60.17,32468
"2015M10",19505,11149,79.84,56.83,30654
"2015M11",19059,9284,87.52,64.22,28343
"2015M12",13417,7267,82.31,57.51,20684
"2016M01",14360,9446,75.80,55.14,23806
"2016M02",15339,7909,86.29,62.12,23248
"2016M03",16754,8028,86.81,59.76,24782
"2016M04",18724,8503,88.28,62.23,27227
"2016M05",19160,9985,88.63,62.64,29145
"2016M06",21515,12707,89.21,59.82,34222
"2016M07",20833,17119,77.54,43.19,37952
"2016M08",22756,16106,82.27,51.28,38862
"2016M09",17523,12116,90.17,66.22,29639
"2016M10",17048,10871,86.14,64.99,27919
"2016M11",12616,12110,93.79,71.13,24726
"2016M12",11466,5592,88.05,60.85,17058
"2017M01",12945,8562,88.43,65.46,21507
"2017M02",14002,9165,91.81,66.88,23167
"2017M03",15681,9861,92.88,68.99,25542
"2017M04",16083,9212,86.36,59.62,25295
"2017M05",20395,14544,89.59,63.80,34939
"2017M06",20923,20376,101.00,68.46,41299
"2017M07",19099,18568,65.81,36.46,37667
"2017M08",23323,21885,87.87,55.69,45208
"2017M09",19680,16033,90.83,65.21,35713
"2017M10",19098,15165,91.52,65.96,34263
"2017M11",18830,14165,97.00,72.37,32995
"2017M12",12439,8845,87.03,59.90,21284
"2018M01",14631,12175,85.58,64.01,26806
"2018M02",14104,9845,87.17,63.53,23949
"2018M03",18287,11074,87.16,59.13,29361
"2018M04",19190,10336,90.36,63.30,29526
"2018M05",23535,12471,99.97,70.72,36006
"2018M06",22104,15666,96.61,64.81,37770
"2018M07",20805,16491,69.81,38.95,37296
"2018M08",26293,19878,91.30,57.08,46171
"2018M09",20918,14121,94.42,68.40,35039
"2018M10",21652,13007,88.53,63.39,34659
"2018M11",22158,11688,90.19,66.32,33846
"2018M12",12686,8893,93.97,64.95,21579
"2019M01",16315,11095,96.18,70.57,27410
"2019M02",16208,8313,92.99,68.31,24521
"2019M03",15705,9571,98.06,74.87,25276
"2019M04",19480,12495,88.58,59.29,31975
"2019M05",21406,13605,102.47,74.72,35011
"2019M06",19929,16558,107.55,73.89,36487
"2019M07",19374,18357,83.50,45.82,37731
"2019M08",24776,19040,97.41,61.82,43816
"2019M09",19506,16455,112.09,83.63,35961
"2019M10",20364,14450,106.71,78.91,34814
"2019M11",19979,12467,109.96,82.05,32446
"2019M12",11415,9851,90.77,65.01,21266
"2020M01",15793,12203,92.54,65.30,27996
"2020M02",17222,9283,94.20,65.42,26505
"2020M03",10784,4862,91.37,66.60,15646
"2020M04",4211,1308,53.19,39.44,5519
"2020M05",5334,1277,48.40,36.20,6611
"2020M06",9423,2388,56.24,39.00,11811
"2020M07",12333,3513,59.66,37.46,15846
"2020M08",16601,5340,65.25,42.48,21941
"2020M09",15889,4166,64.30,46.10,20055
"2020M10",14585,4223,61.07,43.76,18808
"2020M11",11629,4350,59.45,44.14,15979
"2020M12",6901,3467,52.16,38.83,10368
"2021M01",8772,3447,54.48,39.83,12219
"2021M02",11026,3479,61.71,41.05,14505
"2021M03",11297,3540,56.52,39.41,14837
"2021M04",11655,3802,51.91,35.78,15457
"2021M05",17417,4421,59.59,41.04,21838
"2021M06",22359,4568,63.56,42.49,26927
"2021M07",31758,5736,61.41,35.19,37494
"2021M08",27723,7576,72.89,45.63,35299
"2021M09",22952,7116,75.79,51.82,30068
"2021M10",26452,10678,76.84,50.12,37130
"2021M11",24628,7459,83.50,59.64,32087
"2021M12",18391,5333,76.88,49.91,23724
"2022M01",14313,3901,72.98,47.54,18214
"2022M02",16286,4510,77.36,50.85,20796
"2022M03",21716,6515,84.78,58.85,28231
"2022M04",23888,6994,86.67,57.32,30882
"2022M05",29365,9935,93.74,64.81,39300
"2022M06",29518,12455,96.41,66.35,41973
"2022M07",30865,13934,88.24,50.19,44799
"2022M08",32995,18304,94.50,59.98,51299
"2022M09",28256,16643,101.18,71.45,44899
"2022M10",26731,12953,91.40,62.54,39684
"2022M11",25923,13265,95.30,70.14,39188
"2022M12",16846,7308,85.12,57.63,24154
"2023M01",19435,11761,91.11,67.41,31196
"2023M02",18488,9048,93.39,65.95,27536
"2023M03",21444,10061,90.51,65.89,31505
"2023M04",22001,7574,89.14,62.25,29575
"2023M05",32420,14424,103.22,72.04,46844
"2023M06",29441,12654,95.78,64.99,42095
"2023M07",28443,17343,85.45,46.90,45786
"2023M08",34467,17583,90.94,58.04,52050
"2023M09",27109,12911,92.16,67.24,40020
"2023M10",25471,10919,92.24,65.91,36390
"2023M11",24928,10594,95.60,70.41,35522
"2023M12",15767,6074,87.84,58.39,21841
"2024M01",15967,6819,94.28,69.06,22786
"2024M02",17792,6254,91.04,66.34,24046
"2024M03",19569,7358,92.37,66.28,26927
"2024M04",21790,8070,92.72,69.24,29860
"2024M05",27794,11142,93.39,67.43,38936
"2024M06",34035,13995,97.15,63.74,48030
"2024M07",32478,12979,86.73,48.13,45457
"2024M08",36305,14119,95.63,60.60,50424
"2024M09",26208,11834,96.73,73.14,38042
"2024M10",26588,9129,91.01,68.31,35717
"2024M11",25111,10606,99.73,74.77,35717
"2024M12",16480,6512,91.02,64.91,22992
"2025M01*",17663,7577,94.75,71.31,25240
"2025M02*",19182,7099,94.83,68.90,26281
"2025M03*",18816,7359,102.10,75.74,26175
"2025M04*",26604,7043,88.77,60.37,33647
"2025M05*",32304,12941,97.13,68.45,45245
"2025M06*",31717,15015,155.43,105.31,46732
"2025M07*",29289,13875,80.16,47.68,43164
"2025M08*",32819,19638,100.77,70.73,52457
"2025M09*",26584,12258,97.38,70.46,38842
"2025M10*",26525,12311,95.04,67.16,38836
"2025M11*",24873,12029,102.17,74.25,36902
"2025M12*",15768,4901,92.41,70.87,20669
"2026M01*",16945,8648,97.56,72.96,25593
"2026M02*",17359,9059,94.36,67.94,26418
